"Year";"Regime";"Regime Name";"Absolute number of sanctions";"Cumulative number of sanctions"
2000;"IRQ";"IRAQ";0;0
2000;"TERR";"TERRORIST GROUPS";0;0
2000;"TAQA";"AL-QAEDA";0;0
2000;"AFG";"AFGHANISTAN";1;1
2000;"COD";"DEMOCRATIC REPUBLIC OF CONGO";0;0
2000;"SDN";"SUDAN";0;0
2000;"BLR";"BELARUS";0;0
2000;"IRN";"IRAN";1;1
2000;"PRK";"NORTH KOREA";0;0
2000;"GIN";"GUINEA";0;0
2000;"SOM";"SOMALIA";0;0
2000;"TUN";"TUNISIA";0;0
2000;"LBY";"LIBYA";0;0
2000;"SYR";"SYRIAN ARAB REPUBLIC";0;0
2000;"GNB";"GUINEA-BISSAU";0;0
2000;"UKR";"UKRAINE";0;0
2000;"CAF";"CENTRAL AFRICAN REPUBLIC";0;0
2000;"YEM";"YEMEN";0;0
2000;"SSD";"SOUTH SUDAN";0;0
2000;"BDI";"BURUNDI";0;0
2000;"VEN";"VENEZUELA";0;0
2000;"MMR";"MYANMAR/BURMA";0;0
2000;"EUAQ";"EU AUTONOMOUS AL-QAEDA";0;0
2000;"CHEM";"CHEMICAL WEAPONS";0;0
2000;"NIC";"NICARAGUA";0;0
2000;"CYB";"CYBER-ATTACKS";0;0
2000;"TUR";"TURKEY";0;0
2000;"HR";"HUMAN RIGHTS";0;0
2000;"MLI";"MALI";0;0
2000;"HTI";"HAÏTI";0;0
2000;"MDA";"MOLDOVA";0;0
2000;"HAM";"HAMAS AND PALESTINIAN ISLAMIC JIHAD";0;0
2000;"SDNZ";"SUDAN EU AUTONOMOUS";0;0
2000;"GTM";"GUATEMALA";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUS";"RUS";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2000;"RUSDA";"RUSDA";0;0
2001;"IRQ";"IRAQ";0;0
2001;"TERR";"TERRORIST GROUPS";2;2
2001;"TAQA";"AL-QAEDA";10;10
2001;"AFG";"AFGHANISTAN";104;105
2001;"COD";"DEMOCRATIC REPUBLIC OF CONGO";0;0
2001;"SDN";"SUDAN";0;0
2001;"BLR";"BELARUS";0;0
2001;"IRN";"IRAN";0;1
2001;"PRK";"NORTH KOREA";0;0
2001;"GIN";"GUINEA";0;0
2001;"SOM";"SOMALIA";0;0
2001;"TUN";"TUNISIA";0;0
2001;"LBY";"LIBYA";0;0
