Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2019,Afghanistan,Afghanistan,AFG,AFG,0,0,0,2553390,0,0,0,447093
2019,Egypt,Afghanistan,EGY,AFG,28,0,36,0,0,0,0,0
2019,Argentina,Afghanistan,ARG,AFG,12,0,0,0,0,0,0,0
2019,Armenia,Afghanistan,ARM,AFG,5,0,0,0,0,0,0,0
2019,Australia,Afghanistan,AUS,AFG,11585,0,1710,0,0,0,0,0
2019,Austria,Afghanistan,AUT,AFG,37276,0,10326,0,0,0,0,0
2019,Azerbaijan,Afghanistan,AZE,AFG,627,5,94,0,0,0,0,0
2019,Belgium,Afghanistan,BEL,AFG,5070,0,1035,0,0,0,0,0
2019,Belarus,Afghanistan,BLR,AFG,213,0,13,0,0,0,0,0
2019,Brazil,Afghanistan,BRA,AFG,132,0,185,0,0,0,0,0
2019,"Bosnia and Herzegovina",Afghanistan,BIH,AFG,0,0,134,0,0,0,0,902
2019,Bulgaria,Afghanistan,BGR,AFG,243,0,300,0,0,0,0,0
2019,Canada,Afghanistan,CAN,AFG,2447,0,620,0,0,0,0,0
2019,China,Afghanistan,CHN,AFG,21,0,21,0,0,0,0,0
2019,Chile,Afghanistan,CHL,AFG,13,0,13,0,0,0,0,0
2019,Colombia,Afghanistan,COL,AFG,9,0,0,0,0,0,0,0
2019,Cuba,Afghanistan,CUB,AFG,36,0,0,0,0,0,0,0
2019,Cyprus,Afghanistan,CYP,AFG,14,0,5,0,0,0,0,0
2019,Czechia,Afghanistan,CZE,AFG,45,0,14,0,0,0,0,0
2019,Denmark,Afghanistan,DNK,AFG,2620,0,79,0,0,0,0,0
2019,"Dominican Rep.",Afghanistan,DOM,AFG,0,0,9,0,0,0,0,0
2019,Ecuador,Afghanistan,ECU,AFG,150,0,5,0,0,0,0,0
2019,Estonia,Afghanistan,EST,AFG,9,0,0,0,0,0,0,0
2019,Fiji,Afghanistan,FJI,AFG,5,0,5,0,0,0,0,0
2019,Finland,Afghanistan,FIN,AFG,3238,0,1220,0,0,0,0,0
2019,France,Afghanistan,FRA,AFG,24293,0,11055,0,0,0,0,0
2019,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,9513,0,2890,0,0,0,0,0
2019,Georgia,Afghanistan,GEO,AFG,11,0,18,0,0,0,0,0
2019,Germany,Afghanistan,DEU,AFG,140366,0,47343,0,0,0,0,0
2019,Greece,Afghanistan,GRC,AFG,17685,0,27608,0,0,0,0,0
2019,"China, Hong Kong SAR",Afghanistan,HKG,AFG,5,0,0,0,0,0,0,0
2019,Croatia,Afghanistan,HRV,AFG,53,0,108,0,0,0,0,13
2019,Hungary,Afghanistan,HUN,AFG,1487,0,92,0,0,0,0,0
2019,Iceland,Afghanistan,ISL,AFG,86,0,19,0,0,0,0,0
2019,India,Afghanistan,IND,AFG,7470,72,8219,0,0,0,0,0
2019,Indonesia,Afghanistan,IDN,AFG,5866,57,1826,0,0,0,0,0
2019,Ireland,Afghanistan,IRL,AFG,366,0,127,0,0,0,0,0
2019,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,951142,1952,0,0,0,0,0,0
2019,Iraq,Afghanistan,IRQ,AFG,11,0,56,0,0,0,0,0
2019,Italy,Afghanistan,ITA,AFG,17849,0,840,0,0,0,0,0
2019,Jordan,Afghanistan,JOR,AFG,8,0,11,0,0,0,0,0
2019,Japan,Afghanistan,JPN,AFG,68,0,0,0,0,0,0,0
2019,Kazakhstan,Afghanistan,KAZ,AFG,491,0,181,0,0,0,0,0
2019,Kenya,Afghanistan,KEN,AFG,10,5,9,0,0,0,0,0
2019,Kyrgyzstan,Afghanistan,KGZ,AFG,227,0,104,0,0,0,0,0
2019,"Rep. of Korea",Afghanistan,KOR,AFG,41,0,49,0,0,0,0,0
2019,Kuwait,Afghanistan,KWT,AFG,0,0,17,0,0,0,0,0
2019,Libya,Afghanistan,LBY,AFG,0,0,11,0,0,0,0,0
2019,Lebanon,Afghanistan,LBN,AFG,18,0,6,0,0,0,0,0
2019,Liechtenstein,Afghanistan,LIE,AFG,5,0,0,0,0,0,0,0
2019,"Sri Lanka",Afghanistan,LKA,AFG,160,0,45,0,0,0,0,0
2019,Lithuania,Afghanistan,LTU,AFG,236,0,5,0,0,0,0,0
2019,Luxembourg,Afghanistan,LUX,AFG,97,0,170,0,0,0,0,0
2019,Latvia,Afghanistan,LVA,AFG,66,0,0,0,0,0,0,0
2019,Madagascar,Afghanistan,MDG,AFG,10,0,10,0,0,0,0,0
2019,"North Macedonia",Afghanistan,MKD,AFG,5,0,15,0,0,0,0,0
2019,"Rep. of Moldova",Afghanistan,MDA,AFG,24,0,0,0,0,0,0,0
2019,Malaysia,Afghanistan,MYS,AFG,1352,0,1126,0,0,0,0,0
2019,Montenegro,Afghanistan,MNE,AFG,0,0,50,0,0,0,0,0
2019,Morocco,Afghanistan,MAR,AFG,5,0,6,0,0,0,0,0
2019,Malta,Afghanistan,MLT,AFG,0,0,5,0,0,0,0,0
